,year,night,frame,channel,path
167,08,187,118,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_118_001_25_R.fits
168,08,187,106,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_106_001_25_B.fits
169,08,187,108,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_108_001_25_B.fits
170,08,187,110,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_110_001_25_B.fits
171,08,187,115,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_115_001_25_B.fits
172,08,187,118,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/187/08_187_118_001_25_B.fits
173,08,172,086,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_086_001_25_R.fits
174,08,172,088,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_088_001_25_R.fits
175,08,172,090,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_090_001_25_R.fits
176,08,172,086,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_086_001_25_B.fits
177,08,172,088,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_088_001_25_B.fits
178,08,172,090,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/172/08_172_090_001_25_B.fits
179,08,103,032,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_032_001_25_R.fits
180,08,103,035,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_035_001_25_R.fits
181,08,103,038,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_038_001_25_R.fits
182,08,103,041,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_041_001_25_R.fits
183,08,103,044,R,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_044_001_25_R.fits
184,08,103,032,B,/project/projectdirs/snfactry/SNIFS_from_deepsky/overscanned/08/103/08_103_032_001_25_B.fits
